EP,單元名稱,日期,原唱,歌名,年份,速度,原調,原音域,長志調,長志音域,YouTube連結,開始秒數,FB連結
0,,2020/3/17,許哲珮,氣球,2001,,bE,bB3-D5,bA,bE4-G5,,,
0,,2020/3/17,林良樂,冷井情深,1986,,Ｃ,G3-C5,E,B3-E5,,,
0,,2020/3/17,張國榮,我,2000,,B,B3-#F5,bD,bD4-bA5,,,
1,【私藏男歌手】零五年的她還記得嗎？,2020/3/25,伍佰,夜照亮了夜,2005,,,,bA,bE4-bA5,https://www.youtube.com/watch?v=eiw66Ba_bJs,03:00,
1,【私藏男歌手】零五年的她還記得嗎？,2020/3/25,陶喆,她的歌,2005,,,,A,#F3-A4 (後半段升8度),https://www.youtube.com/watch?v=eiw66Ba_bJs,10:38,
1,【私藏男歌手】零五年的她還記得嗎？,2020/3/25,林志炫,進退兩難,2005,,,,bA,bE4-bE6,https://www.youtube.com/watch?v=eiw66Ba_bJs,17:07,
2,【特選女聲】是演員，也是歌手,2020/4/1,趙薇,耳洞,1999,,,,G,,https://www.youtube.com/watch?v=Q_qGkFK01rs,05:37,
2,【特選女聲】是演員，也是歌手,2020/4/1,張柏芝,怎麼會那麼笨,2000,,,,bG,,https://www.youtube.com/watch?v=Q_qGkFK01rs,10:22,
2,【特選女聲】是演員，也是歌手,2020/4/1,李心潔,愛錯,2003,,,,#Fm,,https://www.youtube.com/watch?v=Q_qGkFK01rs,17:24,
,快閃,2020/4/7,原味醞釀,只想愛你,2013,,,,A,,https://www.youtube.com/watch?v=2YfRQkkq6y8,01:20,
3,【獨愛特輯】捲入愛情漩渦的三種姿態,2020/4/8,王菲,我也不想這樣,1997,,,,F,,https://www.youtube.com/watch?v=enxmTpfjkf4,07:07,
3,【獨愛特輯】捲入愛情漩渦的三種姿態,2020/4/8,洪鐘,半個月亮,1969,,,,C,,https://www.youtube.com/watch?v=enxmTpfjkf4,13:00,
3,【獨愛特輯】捲入愛情漩渦的三種姿態,2020/4/8,鄧麗君,千言萬語,1973,,,,bB,,https://www.youtube.com/watch?v=enxmTpfjkf4,19:24,
4,【獨愛特輯】愛，自己,2020/4/15,黃鶯鶯,夢不到你,1989,,,,bG,,https://www.youtube.com/watch?v=Ch7J38cqEZss,09:07,
4,【獨愛特輯】愛，自己,2020/4/15,洛克班,我想你的快樂是因為我,2004,,,,A,,https://www.youtube.com/watch?v=Ch7J38cqEZs,17:58,
4,【獨愛特輯】愛，自己,2020/4/15,孫燕姿,逃亡,2001,,,,B,,https://www.youtube.com/watch?v=Ch7J38cqEZs,28:30,
5,【獨愛特輯】下個路口見,2020/4/22,張震嶽,路口,2007,,,,G,,https://www.youtube.com/watch?v=j6GszbO6VXs,07:57,
5,【獨愛特輯】下個路口見,2020/4/22,蔡健雅,路口,2006,,,,#C,,https://www.youtube.com/watch?v=j6GszbO6VXs,19:48,
5,【獨愛特輯】下個路口見,2020/4/22,陳昇,路口,1997,,,,D,,https://www.youtube.com/watch?v=j6GszbO6VXs,33:00,
6,【特選女聲】你的愛，騙了你,2020/4/29,張惠妹,心誠則靈,2001,,,,bE,,https://www.youtube.com/watch?v=V1VkfJlIwDc,07:29,
6,【特選女聲】你的愛，騙了你,2020/4/29,張惠妹,不要騙我,1998,,,,#Fm,,https://www.youtube.com/watch?v=V1VkfJlIwDc,16:44,
6,【特選女聲】你的愛，騙了你,2020/4/29,張惠妹,不在乎他/好想見你,1999,,,,C,-A5,https://www.youtube.com/watch?v=V1VkfJlIwDc,29:27,
7,【獨愛特輯】愛不等於在一起,2020/5/6,杜德偉,癡癡的等,1997,,,,G,,https://www.youtube.com/watch?v=8G7WcthIE44,05:46,
7,【獨愛特輯】愛不等於在一起,2020/5/6,林慧萍,說時依舊,1990,,,,G,G4,https://www.youtube.com/watch?v=8G7WcthIE44,13:00,
7,【獨愛特輯】愛不等於在一起,2020/5/6,楊乃文,應該,2001,,,,bB,,https://www.youtube.com/watch?v=8G7WcthIE44,20:10,
8,【特選女聲】希望之歌,2020/5/13,趙詠華,希望之鴿,1990,,,,C,,https://www.youtube.com/watch?v=rsO4o1qYjjE,06:40,
8,【特選女聲】希望之歌,2020/5/13,曾淑勤,魯冰花,1989,,,,F,,https://www.youtube.com/watch?v=rsO4o1qYjjE,14:17,
8,【特選女聲】希望之歌,2020/5/13,汪佩蓉,比我對你更好的人,2005,,,,bA,,https://www.youtube.com/watch?v=rsO4o1qYjjE,23:35,
,快閃,2020/5/16,劉若英,後來,2000,4=75,bE,,bA,,https://www.youtube.com/watch?v=AEVuicMCkI4,03:19,
,快閃,2020/5/17,汪佩蓉,比我對你更好的人,2005,,,,bA,,https://www.youtube.com/watch?v=6n_wdhH4R4U,03:06,
9,【特選女聲】不是戀愛的季節,2020/5/20,莫文蔚,陰天,1999,,,,bB,F4-bA5,https://www.youtube.com/watch?v=SASVAylLPc8,06:30,
9,【特選女聲】不是戀愛的季節,2020/5/20,莫文蔚,不要愛我,1999,,,,#Fm (A) ->B,#C4-#A5,https://www.youtube.com/watch?v=SASVAylLPc8,17:05,
9,【特選女聲】不是戀愛的季節,2020/5/20,莫文蔚,真的嗎,1998,,,,G,D4-G5,https://www.youtube.com/watch?v=SASVAylLPc8,28:13,
10,【獨愛特輯】朋友們的聚會,2020/5/27,王菲,開到荼蘼,1999,,,,#Fm,E4-#G5,https://www.youtube.com/watch?v=9aAqYqQ2TbU,07:48,
10,【獨愛特輯】朋友們的聚會,2020/5/27,蔡琴,恰似你的溫柔,1981,,,,E,-E5,https://www.youtube.com/watch?v=9aAqYqQ2TbU,14:39,
10,【獨愛特輯】朋友們的聚會,2020/5/27,齊秦,夜夜夜夜,1996,,,,C,E4-A5,https://www.youtube.com/watch?v=9aAqYqQ2TbU,26:51,
11,【私藏男歌手】日常五月天,2020/6/3,五月天,擁抱,1999,,,,D,,https://www.youtube.com/watch?v=dcGaIF5ZssE,07:23,
11,【私藏男歌手】日常五月天,2020/6/3,五月天,愛情的模樣,1999,,,,E,,https://www.youtube.com/watch?v=dcGaIF5ZssE,14:39,
11,【私藏男歌手】日常五月天,2020/6/3,五月天,瘋狂世界,1999,,,,G,,https://www.youtube.com/watch?v=dcGaIF5ZssE,21:27,
11,【私藏男歌手】日常五月天,2020/6/3,五月天,溫柔（還你自由版）,2000,,,,G,,https://www.youtube.com/watch?v=dcGaIF5ZssE,29:15,
12,【獨愛特輯】星星眼裡的你,預錄,張信哲,太想愛你,1996,,,,F,,https://www.youtube.com/watch?v=dPgw-of-pT0,01:48,
12,【獨愛特輯】星星眼裡的你,預錄,楊乃文,星星堆滿天,1997,,,,B,,https://www.youtube.com/watch?v=dPgw-of-pT0,08:04,
12,【獨愛特輯】星星眼裡的你,預錄,紅螞蟻,愛情釀的酒,1985,,,,bB,,https://www.youtube.com/watch?v=dPgw-of-pT0,13:39,
13,【特選女聲】後來的我,2020/7/1,那英,我不是天使,2001,4=115,C,,F,,https://www.youtube.com/watch?v=D8-aNCBRT0I,06:30,
13,【特選女聲】後來的我,2020/7/1,劉若英,後來,1999,4=75,bE,,bA,F4-,https://www.youtube.com/watch?v=D8-aNCBRT0I,16:29,
13,【特選女聲】後來的我,2020/7/1,林憶蓮,傷痕,1995,8=140,F,,bB,,https://www.youtube.com/watch?v=D8-aNCBRT0I,26:34,
14,【特選女聲】這些女人的心事,2020/7/8,梁靜茹,如果有一天,2000,99,D,,A,-#G5,https://www.youtube.com/watch?v=YAnUCURmXbY,10:24,
14,【特選女聲】這些女人的心事,2020/7/8,蘇慧倫,被動,1996,,E,,#C,,https://www.youtube.com/watch?v=YAnUCURmXbY,21:43,
14,【特選女聲】這些女人的心事,2020/7/8,阿爆,獨唱,2003,50,C,,A,,https://www.youtube.com/watch?v=YAnUCURmXbY,31:04,
14,【特選女聲】這些女人的心事,2020/7/8,順子,回家,1997,,F,,A,,https://www.youtube.com/watch?v=YAnUCURmXbY,40:17,
,快閃,,孫燕姿,我不難過,2003,,,,C,,https://www.youtube.com/watch?v=sFPcgqOWTvw,07:12,
15,【獨愛特輯】愛的出口,2020/7/15,許茹芸,淚海,1996,58,D->bE,,bB->B,G4-#G5,https://www.youtube.com/watch?v=2nCaVQ8JUrQ,05:17,
15,【獨愛特輯】愛的出口,2020/7/15,徐佳瑩,出口,2009,115,bD,,bA,,https://www.youtube.com/watch?v=2nCaVQ8JUrQ,15:12,
15,【獨愛特輯】愛的出口,2020/7/15,周杰倫,黑色幽默,2000,64,bB,F4-bE6,bB,,https://www.youtube.com/watch?v=2nCaVQ8JUrQ,22:51,
15,【獨愛特輯】愛的出口,2020/7/15,伍佰,夏夜晚風,1996,55,bE,,B,#D4-#A5,https://www.youtube.com/watch?v=2nCaVQ8JUrQ,33:52,
16,【獨愛特輯】請讓我愛你,2020/7/22,李茂山,我的眼睛在下雨,1989,,Am,,bBm,,https://www.youtube.com/watch?v=pjyqo3Wn46g,04:17,
16,【獨愛特輯】請讓我愛你,2020/7/22,倪敏然,愛情哪裡來,1968,,C,,E,,https://www.youtube.com/watch?v=pjyqo3Wn46g,11:16,
16,【獨愛特輯】請讓我愛你,2020/7/22,鄧麗君,四個願望,1970,,G,,E,,https://www.youtube.com/watch?v=pjyqo3Wn46g,14:22,
16,【獨愛特輯】請讓我愛你,2020/7/22,顧媚,不了情,1961,,bB,,bG,,https://www.youtube.com/watch?v=pjyqo3Wn46g,22:07,
17,【私藏男歌手】可不可以把悲傷都帶走,2020/7/29,張雨生,大海,1992,,bB,,bB,,https://www.youtube.com/watch?v=tEUmOTcoNqI,07:40,
17,【私藏男歌手】可不可以把悲傷都帶走,2020/7/29,陳奕迅,全世界失眠,2001,,D,,bE,,https://www.youtube.com/watch?v=tEUmOTcoNqI,16:17,
17,【私藏男歌手】可不可以把悲傷都帶走,2020/7/29,張學友,秋意濃,1993,,Am,,Am,,https://www.youtube.com/watch?v=tEUmOTcoNqI,25:53,
17,【私藏男歌手】可不可以把悲傷都帶走,2020/7/29,陳昇,把悲傷留給自己,1991,,D,,D,,https://www.youtube.com/watch?v=tEUmOTcoNqI,38:42,
18,【獨愛特輯】那晚，故事,2020/8/5,楊丞琳,曖昧,2005,,bE,,A,,https://www.youtube.com/watch?v=MmCwRGIK4a4,07:33,
18,【獨愛特輯】那晚，故事,2020/8/5,王宏恩,月光,2004,,A,,bB,,https://www.youtube.com/watch?v=MmCwRGIK4a4,17:21,
18,【獨愛特輯】那晚，故事,2020/8/5,戴佩妮,你要的愛,2001,,F,,(#C),,https://www.youtube.com/watch?v=MmCwRGIK4a4,29:44,
18,【獨愛特輯】那晚，故事,2020/8/5,蔡依林,七十二變,2003,,Dm,,Cm,,https://www.youtube.com/watch?v=MmCwRGIK4a4,40:05,
19,【獨愛特輯】要回去哪裡呢?,2020/8/12,巴奈,流浪記,2000,,Bm (D),,#Fm (A),,https://www.youtube.com/watch?v=4OnK8i-5duo,04:59,
19,【獨愛特輯】要回去哪裡呢?,2020/8/12,陳綺貞,告訴我,2000,,C,,G,,https://www.youtube.com/watch?v=4OnK8i-5duo,13:41,
19,【獨愛特輯】要回去哪裡呢?,2020/8/12,陳建年,鄉愁,1999,,Fm (bA),,Fm (bA),,https://www.youtube.com/watch?v=4OnK8i-5duo,22:22,
19,【獨愛特輯】要回去哪裡呢?,2020/8/12,范曉萱,我要我們在一起,2000,,Am,,Am,,https://www.youtube.com/watch?v=4OnK8i-5duo,30:40,
20,【獨愛特輯】桃色之夜（特別計畫）,2020/8/19,王菲,你快樂所以我快樂,1997,,,,B,,https://www.youtube.com/watch?v=LP43pDjIq1A,05:01,
20,【獨愛特輯】桃色之夜（特別計畫）,2020/8/19,蘇芮,是否,1983,,,,bE (楊桃),,https://www.youtube.com/watch?v=LP43pDjIq1A,15:41,
20,【獨愛特輯】桃色之夜（特別計畫）,2020/8/19,阿妹妹,大鬧一場,1998,,,,Am,,https://www.youtube.com/watch?v=LP43pDjIq1A,27:03,
20,【獨愛特輯】桃色之夜（特別計畫）,2020/8/19,昊恩家家,星星數不清,2006,,,,E,,https://www.youtube.com/watch?v=LP43pDjIq1A,35:21,
,快閃,2020/8/22,林曉培,心動,2003,,,,B,,https://www.youtube.com/watch?v=8el58xKk3QM,03:50,
21,【獨愛特輯】將愛進行到底,2020/8/26,藍又時,倫敦的愛情,2010,70,bB,,bG,, https://youtu.be/zCBvs_yRWjQ,04:48,
21,【獨愛特輯】將愛進行到底,2020/8/26,萬芳,就值得了愛,1996,,F,,#C,, https://youtu.be/zCBvs_yRWjQ,14:58,
21,【獨愛特輯】將愛進行到底,2020/8/26,伍佰,愛情的盡頭,1996,,A,,A,, https://youtu.be/zCBvs_yRWjQ,22:50,
21,【獨愛特輯】將愛進行到底,2020/8/26,梁詠琪,偏見,2005,,D,,A,, https://youtu.be/zCBvs_yRWjQ,34:45,
22,【獨愛特輯】井井相依（特別計畫）,2020/9/2,陳珊妮,尼可拉斯,2004,,Em,,Dm,, https://youtu.be/iW69bh6a-nQ,07:54,
22,【獨愛特輯】井井相依（特別計畫）,2020/9/2,徐佳瑩,圓舞曲,2009,,Em (G),,bBm (bD),, https://youtu.be/iW69bh6a-nQ,20:06,
22,【獨愛特輯】井井相依（特別計畫）,2020/9/2,蘇芮,心痛的感覺,1984,,bG,,B,, https://youtu.be/iW69bh6a-nQ,29:59,
22,【獨愛特輯】井井相依（特別計畫）,2020/9/2,伍佰&莫文蔚,堅強的理由,1998,,C,,C,, https://youtu.be/iW69bh6a-nQ,39:30,
23,【獨愛特輯】這個世界,2020/9/9,張清芳,深邃與甜蜜,,,G,,bE,,https://youtu.be/1sLkh9ECTOc,09:13,
23,【獨愛特輯】這個世界,2020/9/9,,李泉,走鋼索的人,,bB,,C,,https://youtu.be/1sLkh9ECTOc,18:18,
23,【獨愛特輯】這個世界,2020/9/9,張懸,城市,,,C,,bA,,https://youtu.be/1sLkh9ECTOc,29:25,
23,【獨愛特輯】這個世界,2020/9/9,蔡藍欽,這個世界,93,,A,,D,,https://youtu.be/1sLkh9ECTOc,38:57,
24,【獨愛特輯】永遠在身邊,2020/9/16,張韶涵,遺失的美好,100,,F,,C,,https://www.youtube.com/watch?v=16giUesU2oQ,07:18,
24,【獨愛特輯】永遠在身邊,2020/9/16,李玟,Di Da Di,,,Bm,,Am,,https://www.youtube.com/watch?v=16giUesU2oQ,19:25,
24,【獨愛特輯】永遠在身邊,2020/9/16,錦繡二重唱,明天也要作伴,118,,bA,,E,,https://www.youtube.com/watch?v=16giUesU2oQ,32:36,
24,【獨愛特輯】永遠在身邊,2020/9/16,陶晶瑩,離開我,123,,B,,G,,https://www.youtube.com/watch?v=16giUesU2oQ,40:34,
25,【獨愛特輯】無可救藥的愛,,蔡健雅,雙棲動物,2005,,,,,,https://www.youtube.com/watch?v=vtydlcrwODY,17:15,
25,【獨愛特輯】無可救藥的愛,,張惠妹,剪愛,1996,,,,,,https://www.youtube.com/watch?v=vtydlcrwODY,31:06,
25,【獨愛特輯】無可救藥的愛,,林志炫,離人,2001,,,,,,https://www.youtube.com/watch?v=vtydlcrwODY,40:57,
25,【獨愛特輯】無可救藥的愛,,陶晶瑩,離開我,1999,,,,,,https://www.youtube.com/watch?v=vtydlcrwODY,53:33,
26,【私藏男歌手】自由歲月,,齊秦,原來的我,1985,,,,,,https://www.youtube.com/watch?v=Df7DiSligu8,05:12,
26,【私藏男歌手】自由歲月,,陶喆,黑色柳丁,2002,,,,,,https://www.youtube.com/watch?v=Df7DiSligu8,13:35,
26,【私藏男歌手】自由歲月,,王力宏,不可能錯過你,1999,,,,,,https://www.youtube.com/watch?v=Df7DiSligu8,22:05,
26,【私藏男歌手】自由歲月,,羅大佑,鹿港小鎮,1982,,,,,,https://www.youtube.com/watch?v=Df7DiSligu8,33:22,
27,【特選女聲】因為愛你,,丁小芹,如果我是男生,1999,,,,,,https://www.youtube.com/watch?v=CIxAf2n4qWY,09:44,
27,【特選女聲】因為愛你,,楊乃文,證據,2004,,,,,,https://www.youtube.com/watch?v=CIxAf2n4qWY,15:57,
27,【特選女聲】因為愛你,,張惠妹,孤單Tequila,1997,,,,,,https://www.youtube.com/watch?v=CIxAf2n4qWY,25:21,
28,【獨愛特輯】柏拉圖式的愛,,陳琦貞,柏拉圖式的愛情,2014,,,,,,https://www.youtube.com/watch?v=sK0xmi7_6Us,11:25,
28,【獨愛特輯】柏拉圖式的愛,,羅大佑,滾滾紅塵,1991,,,,,,https://www.youtube.com/watch?v=sK0xmi7_6Us,20:00,
28,【獨愛特輯】柏拉圖式的愛,,齊秦,大約在冬季,1987,,,,,,https://www.youtube.com/watch?v=sK0xmi7_6Us,29:19,
28,【獨愛特輯】柏拉圖式的愛,,李壽全,張三的歌,1986,,,,,,https://www.youtube.com/watch?v=sK0xmi7_6Us,44:02,
29,【獨愛特輯】家聲之夜,,,,,,,,,,https://www.youtube.com/watch?v=PmMyKaRr3kM,05:08,
29,【獨愛特輯】家聲之夜,,許茹芸,心蝕,1997,,,,,,https://www.youtube.com/watch?v=PmMyKaRr3kM,17:15,
29,【獨愛特輯】家聲之夜,,E,戀人未滿,2001,,,,,,https://www.youtube.com/watch?v=PmMyKaRr3kM,31:41,
29,【獨愛特輯】家聲之夜,,柯以敏,她在睡前哭泣,1996,,,,,,https://www.youtube.com/watch?v=PmMyKaRr3kM,53:01,
30,【獨愛特輯】來不及了愛,,陳珊妮,來不及,1999,,,,,,https://www.youtube.com/watch?v=JVMEuA0pUg4,08:23,
30,【獨愛特輯】來不及了愛,,吳宗憲,永保安康,2001,,,,,,https://www.youtube.com/watch?v=JVMEuA0pUg4,18:53,
30,【獨愛特輯】來不及了愛,,南拳媽媽,下雨天,2008,,,,,,https://www.youtube.com/watch?v=JVMEuA0pUg4,33:39,
30,【獨愛特輯】來不及了愛,,莫文蔚,愛,2002,,,,,,https://www.youtube.com/watch?v=JVMEuA0pUg4,46:50,
31,【特選女聲】她的青春無限期,,城市女孩,年輕不要留白,1987,,,,,,https://www.youtube.com/watch?v=2Z1d51Y6cDU,10:13,
31,【特選女聲】她的青春無限期,,ASOS,十分鐘的戀愛,1995,,,,,,https://www.youtube.com/watch?v=2Z1d51Y6cDU,21:52,
31,【特選女聲】她的青春無限期,,蕭亞軒,Cappuccino,1999,,,,,,https://www.youtube.com/watch?v=2Z1d51Y6cDU,35:16,
31,【特選女聲】她的青春無限期,,王心凌,愛你,2004,,,,,,https://www.youtube.com/watch?v=2Z1d51Y6cDU,51:08,
32,【獨愛特輯】遊走幸福的我們,,張棟樑,寂寞邊界,2005,,,,,,https://www.youtube.com/watch?v=k-TttlR89g8,03:36,
32,【獨愛特輯】遊走幸福的我們,,A-Lin,愛 請問怎麼走,2006,,,,,,https://www.youtube.com/watch?v=k-TttlR89g8,14:59,
32,【獨愛特輯】遊走幸福的我們,,吳宗憲,是不是這樣的夜晚你才會這樣的想起我,1987,,,,,,https://www.youtube.com/watch?v=k-TttlR89g8,26:36,
32,【獨愛特輯】遊走幸福的我們,,動力火車,我給你幸福,2005,,,,,,https://www.youtube.com/watch?v=k-TttlR89g8,40:15,
33,【特選女聲】再見,,王羚柔,當我們都在一起,2004,,,,,,https://www.youtube.com/watch?v=x1fL_h5GdUw,05:43,
33,【特選女聲】再見,,許哲珮,瘋子,2007,,,,,,https://www.youtube.com/watch?v=x1fL_h5GdUw,17:14,
33,【特選女聲】再見,,同恩,昨天我十五歲,2005,,,,,,https://www.youtube.com/watch?v=x1fL_h5GdUw,29:27,
33,【特選女聲】再見,,溫嵐,愛回溫,2005,,,,,,https://www.youtube.com/watch?v=x1fL_h5GdUw,44:47,
34,【私藏男歌手】親密朋友,,,,1999,,,,,,https://www.youtube.com/watch?v=dcCFF9M2y-U,06:20,
34,【私藏男歌手】親密朋友,,,,1995,,,,,,https://www.youtube.com/watch?v=dcCFF9M2y-U,15:32,
34,【私藏男歌手】親密朋友,,,,2002,,,,,,https://www.youtube.com/watch?v=dcCFF9M2y-U,24:37,
34,【私藏男歌手】親密朋友,,,,2007,,,,,,https://www.youtube.com/watch?v=dcCFF9M2y-U,32:24,
35,【獨愛特輯】我們結婚吧,,王菲,矜持,1994,,,,,,https://www.youtube.com/watch?v=yUeLHtZd3n0,07:58,
35,【獨愛特輯】我們結婚吧,,王力宏,Forever Love,2005,,,,,,https://www.youtube.com/watch?v=yUeLHtZd3n0,21:31,
35,【獨愛特輯】我們結婚吧,,王菲,我願意,1994,,,,,,https://www.youtube.com/watch?v=yUeLHtZd3n0,31:43,
35,【獨愛特輯】我們結婚吧,,張靚穎,終於等到你,2013,,,,,,https://www.youtube.com/watch?v=yUeLHtZd3n0,42:07,
36,【獨愛特輯】習慣把愛藏在心裡最深處,,張震嶽,秘密,1997,,,,,,https://www.youtube.com/watch?v=_oUKGwsOuVU,06:14,
36,【獨愛特輯】習慣把愛藏在心裡最深處,,林憶蓮,聽說愛情回來過,1995,,,,,,https://www.youtube.com/watch?v=_oUKGwsOuVU,17:58,
36,【獨愛特輯】習慣把愛藏在心裡最深處,,張惠妹,我為什麼那麼愛你,2003,,,,,,https://www.youtube.com/watch?v=_oUKGwsOuVU,31:17,
36,【獨愛特輯】習慣把愛藏在心裡最深處,,莫文蔚,愛情,1998,,,,,,https://www.youtube.com/watch?v=_oUKGwsOuVU,40:15,
37,【獨愛特輯】人生劇中劇_浪漫使者,,Tank,給我你的愛,2005,,,,,,https://www.youtube.com/watch?v=w_FOZuMIelQ,10:03,
37,【獨愛特輯】人生劇中劇_浪漫使者,,戴佩妮,街角的祝福,2002,,,,,,https://www.youtube.com/watch?v=w_FOZuMIelQ,20:28,
37,【獨愛特輯】人生劇中劇_浪漫使者,,傅又宣,December Rain,2000,,,,,,https://www.youtube.com/watch?v=w_FOZuMIelQ,31:35,
37,【獨愛特輯】人生劇中劇_浪漫使者,,趙薇,離別的車站,2001,,,,,,https://www.youtube.com/watch?v=w_FOZuMIelQ,46:24,
